Syllable/Combination,汉字
jeu1A|55,㐀㗀㘳㚱𠇲𩂯鸺麀鮴鵂髤髹鄾銝邱貅蚯蚴蓲茠耰脙纋瀀烋烌㤑㥑㱊㱗㳋㳜㴗㵻㹯㾋䏫䝗䥳䮌䰍䱂丘休优優凪呦咻嚘坵幽庥忧怮恘恷憂懮櫌泑
jeu1B|21,㐕㒡㕱㘥㚭㛜𦅚𢰧𨔁𨔼𡛺𣓥𣏞𦬓𨩊𣸯𨠫𨠄魷鮋鯈鰇鱿鲉鶔騥鞣铀郵酋醔鈾鍒輏輮輶逌逰遊邎邮蹂訧蚰蝚蝣蝤葇蕕莜莸聈肬脜繇禸秞瑈瓇由疣犹猶猷滺㫍㳊㳺㻥㽕㽥㾞䌊䌛䍃䐓䑻䗅䚃䢊䢟䧷䰆偤冘厹囮媃尢尤峳庮怞怣悠揉攸斿柔柚楢櫾沋油浟渘游
jeu3B|22,㐛𧙗鼬駀酭釉迶貁褎褏祐牰狖㳓㹨㺠䀁䆜䞥亴佑佦侑又右囿姷宥峟有柚櫾
jeu3A|33,㓜蚴螑袎糿珛䟬䠗孧幼
jeu2B|13,㔽㕗㕛𥤃𩵼𦮖𣜃韖铕酉銪诱誘蜏苃莠羐羑禉牖牗湵㮋䂋䅎䒴䛻䣭䬀䳑丣卣友唀庮有栯梄槱
jeu2A|35,黝魷鱿铀釉鈾蚴粈糅糗由煣㰶㱙㶭友右懮朽柚楺櫾油泑
deu3B|22,㐙㛒𢭃餖饾郖鋀逗读豆讀荳脰窦竇痘瀆㢄䄈䇺䕆哣梪毭浢渎
deu2A|35,㖍𨺗𣁾阧陡钭鈄豆赳蚪荳糺糾纠窦竇痘㞳㪲㪳㪷㺶䢏乧抖斗枓
deu1A|55,𤾆郖蔸篼㨮㿡兜兠吺唗橷
deu3A|33,𢭃鬥鬦鬪鬬鬭閗闘窦竇䛠䬦斗斣
deu1B|21,豆
ceu1A|55,㑇㑳𤧐𩄍鹙龝鰌鰍鳅鶖鬏鞦鞧趥蝵蟗蠤萩蘒紬緧秋秌穐篍篘瘳犨犫湫㤘㥮㨨㩅㮲䀺䆋䋺䌷䐐䠓䨂䲡偢妯媝抽搊楸
ceu3A|33,㗜𩡗齅輳辏遚蔟腠臭臰糗溴䔏凑嗅奏族楱殠湊
ceu1B|21,㘜𠑥𤴆𤅕魗鮂鰽雔雠酋酧酬醻躊逎遒踌詶讎讐蝤裯菗薵苬绸籌紬絒綢稠筹皗畴疇煪燽犨犫湭㤽㥢㦞㷕㿧䌧䌷䎿䓓䯾䲖仇俦儔唒嚋囚嬦崷帱幬怞惆懤栦椆汓泅渞
ceu2A|35,魗醜绸籌綢筹瞅矁䏚䪮丑侴偢吜杻杽橻
zeu3A|33,㑇㑳㔿诌詋詶謅腠绉縐祝皱皺甃㤘㥮㩆㼙㾭䅢䊘䋓䎻僽呪咒咮啄喙噣奏揍昼晝
zeu3B|22,㔌鷲鹫鮦鲖駎驟骤酎袖褎褏葤荮胄籀籒籕粙紂繇纣㠇㵵䈙䛆䜬䠫䩜䶇伷僦僽冑宙就岫怞殧
zeu1A|55,㖄鸼黀齱齺鯫鲰鵃駲騆騶驺鬏陬霌郮郰鄒鄹銂輈輖辀週邹诌诪诹賙赒諏謅譸蝤菆舟緅箃盩矪珘湫湬炿烐㨄㭧㻓䆶䎇䑼䓟䧓侜倜周啁啾喌噍婤州徟掫揂揪揫棷棸洀洲淍
zeu2A|35,鯐鯞酒走赱菷肘箒睭疛㞫㫶㷌䖞䲤帚晭
geu2A|35,㐇韭韮镹豿赳舏芶苟耇耈耉粂糺糾紤纠究笱狗玖玽㶢㺃㺵丩久乆九乣奺岣杦枸氿
geu3A|33,㗕𤨣鷇雊遘诟購购覯觏訽詬究疚煹灸㝅㝌㝤㡱㨌㲃䃓䆒䝭䬨冓匓匶厩咎坸垢够夠姤媾廄廏廐彀慦捄搆撀救构柩構
geu1A|55,𨳊𤄄鸠龜龟鬮鳩阄鞲韝軥袧缑簼緱篝溝㞗䦰䧱䰗䲥䲫佝冓勼勾句摎朻樛沟泃
geu3B|22,鯦舊肍㺩倃匛匶嚿旧柩柾
seu1B|21,㐜㖌雠讎讐㵞仇愁
seu2A|35,㐿𩠐首鎪锼謏螋蒐薮藪艏艘籔綇瞍狩獀滫㝊㟬䉤䏂䢘䭭傁叜叟嗾垨守手扌搜擞擻棷櫢
seu3B|22,㖟绶綬璹㥅䛵受售壽夀寿授涭
seu1A|55,㖬𤨩𣘀𤪱鱃颼颾飕餿饈馊馐騪鞘鎪鏅锼鄋醙鎀螋蒐蓃臹艘羞脩糔獀溲滫潃㧃㮴㲙㲣㹋䈭䐰䐹䑹䗏䗛䡭䤇䤹䩳䬒䮟䱸俢修凁収嗖廀廋捜搜摉收樇
seu3A|33,㛢𣵛鏉鏥鏽锈銹螋膄绣綉繍繡秀琇璓痩瘦瘶狩獣獸滫漱潄㝛兽嗽守宿擞擻
teu1B|21,㓱骰頭酘緰牏㢏䕱䵉亠头投
teu3A|33,㕻㖣透㰯䞬䟝咅斢
teu2A|35,黈飳頭蘣紏㪗㳆㼥䚵䱏唞头妵敨
teu1A|55,鋀鍮偷偸婾媮愉
meu1B|21,㖼㛌麰鴾髳鞪鉾鍪谋謀蛑缪繆眸牟䋷䏬䗋䥐䱕侔劺哞恈毪洠
meu2B|13,𠺖𦳑畂畆畒畝畞畮牡牳䍒亩厶昴某
meu3B|22,𣕚𢡟鄮谬貿贸謬袤茂缪繆瞀㮊䀤䓮愗懋暓柕楙
meu1A|55,踎痞哞
neu1B|21,㖻羺㝹䨲
neu2A|35,㚼靵钮鈕纽紐狃㱙妞忸扭朽杻
neu2B|13,㜌莥炄㳶㺲䏔啂
neu3B|22,𧂭鎒鐞譳腬腻膩耨糅獳䅶䋴槈檽
neu1A|55,嬲
leu1B|21,㐬㖻𩗩𥜆𨻧鹠麍鰡鶹飀飂飅飗餾馏駠駵騮驑骝髅髏鞻鎏鎦鏐鐂镏镠蹓軁遛遱謱蝼螻蟉裗蒌蒥蓅蔞藰膢艛羺耧耬窭窶瞜硫磂琉瑠瑬璢畄留畱疁瘤癅熘熡溇溜漊漻瀏㝹㡞㥪㳅㺏㽞䁖䅹䉧䖻䗜䚧䝀䝏䣚䨲䫫䬟䮫䰘䱖䱾䶉偻僂刘剅劉喽嘍嚠塿娄婁媹寠嵧廔慺懰搂摎摟斿旈旒楼榴樓橊流浏
leu3B|22,㔷㙀㙧𧂭鹨𢄪鬸鷚飂餾馏陋雡霤露鎒鎦鏤鐂鐞镂镏蹓遛譳腬腻膩翏耨糅瘘瘺瘻熘獳溜漏澑㶯㽌䄂䅶䋴塯屚廇槈檽
