Syllable/Combination,汉字
a1A|55,吖呵啊腌錒锕阿
a1B|35,呵啊嗄
a2|214,呵啊阿
a3|51,呵啊阿
a5,呵啊嗄阿
ba1A|55,㭭㸭㺴㿬䈈䰾䶕丷仈八叭吧哱哵夿岜峇巴巼扒捌捭朳柭玐疤笆粑羓芭蚆豝釛釟鈀魞鲃鿱
ba1B|35,㔜㧊䟦䮂䳊八叐坺墢妭抜抪拔湃炦犮癹胈茇茷菝萆詙跋軷颰魃鼥
ba2|214,㞎把鈀钯靶
ba3|51,㭛㶚䃻䆉䇑䎬䎱䥯䩗䩻䯲䰾䶕伯坝垻壩弝把杷欛灞爸皅矲罢罷耙覇跁霸靶鮁鮊鲅鲌
ba5,叭吧紦罢罷
ca1A|55,䃰䌨傪嚓拆擦攃蔡
ca2|214,礤礸
ca3|51,䟃䵽囃磣遪
cha1A|55,㛼㮑䛽偛叉喳嗏嚓差扠扱挿捷接插揷杈疀碴肞臿艖芆荖訍釵銟鍤鎈锸餷馇
cha1B|35,㜘㡸㢉㢒㪯㫅䁟䅊䕓䠡䤩叉垞察嵖捈搽摖斜查梌楂槎檫猹碴秅苴茬茶荼褨詧鉏靫
cha2|214,䂳叉土衩蹅鑔镲
cha3|51,㣾㤞㲼㳗䒲䓭䟕䡨䶪仛侘刹叉奼姹岎岔差杈汊紁衩訍詫诧
da1A|55,㗳㙮㿴䌋䐛䪏䪚咑哒嗒噠塌塔搭撘毼瘩矺笚答耷荅褡鎝
da1B|35,㜓㩉㯓㾑㿯䃮䩢䳴䵣僤剳匒呾哒噠妲怛憚打搨沓溚炟燵畗畣瘩笪答羍胆荅荙薘蟽詚跶躂达迏迖迚迭逹達鎉鐽阘靼鞑韃龖龘鿎
da2|214,打觰
da3|51,亣大汏眔
da5,㙮㟷㾑嗒垯塔墶疸瘩繨跶
fa1A|55,发彂沷発發酦醱
fa1B|35,㕹㘺䇅䣹乏伐傠垡姂拔撥栰橃汎泛浌疺瞂砝笩筏罚罰罸茷藅貶閥阀
fa2|214,䂲佱法灋砝鍅髪髮
fa3|51,㛲发珐琺蕟髪髮
ga1A|55,㹢伽呷咖嘎嘠夹夾戛旮胳
ga1B|35,嘎噶尜軋轧釓錷钆
ga2|214,嘎尕玍
ga3|51,尬魀
ha1A|55,呵哈蛤鉿铪
ha1B|35,虾蛤蝦
ha2|214,哈奤獬
ha3|51,吓哈
ka1A|55,㮟䘔呿咔咖咯喀擖衉
ka2|214,佧卡咔咯垰胩裃鉲
la1A|55,㕇㡴㩉㱞䏠啦喇垃拉搚摺柆砬磖翋菈邋
la1B|35,剌喇嚹拉揦旯砬磖
la2|214,䖃喇拉藞
la3|51,㯿㸊㻋㻝䂰䃳䏀䓥䗶䱨䱫䶛儠剌拉揦揧擸攋楋溂爉瓎瘌癩腊臈臘落蜡蝋蝲蠟辢辣鑞镴鬎鯻鱲
la5,啦喇嚹垃拉蓝藍鞡
ma1A|55,妈媽嬤嬷孖抹摩蚂螞麻
ma1B|35,㦄䗫䳸吗嗎嘛犘痲痳蔴蟆蟇貊靡麻麽
ma2|214,㐷䣕䣖傌吗嗎榪溤犸獁玛瑪码碼蚂螞遤鎷馬马鰢鷌
ma3|51,㑻㜫㨸㾺䀛䀣䧞䯦傌唛嗎嘜杩榪犸獁睰礣祃禡罵蚂螞貉閁駡驀骂鬕
ma5,㕰么亇吗嗎嘛嚜嫲麽
na1A|55,南那
na1B|35,䏧䛔䫱呶嗱拏拿挐秅蒘訤詉誽鎿镎
na2|214,䋈乸哪那郍雫
na3|51,㗙㨥㪎㮏㵊䇱䈫䋾䎎䏧䖓䖧䟜䪏内吶呐哪妠娜抐捺淰笚笝箬納絮纳肭蒳衲袦豽貀蹃軜那鈉钠靹魶
na5,呐哪
pa1A|55,㕷㞎䔤䯲叭吧啪妑帊汃派皅舥芭苩葩趴
pa1B|35,扒把掱杷潖爬琶筢耙跁鈀钯
pa3|51,帊帕怕汃袙
sa1A|55,仨挱挲撒
sa2|214,撒攃洒潵灑纚訯躠靸鞈
sa3|51,㒎㚫㪪㽂䊛䑥䙣䛽䬃卅摋檫櫒殺泧脎萨蔡薩虄訯趿鈒鎝鏾钑隡霅颯飒馺
sha1A|55,㠺㲚㸺䤬乷刹剎唦挱挲摋杀杉桬榝樧殺毮沙煞猀痧砂硰粆紗纱莎蔱裟賒鎩铩閷魦鯊鯋鲨
sha1B|35,啥
sha2|214,傻儍
sha3|51,㛼㬠㰱㰼㵤䈉䝊䬊倽厦哈唼啑啥喢嗄噎帹廈接攝歃歰沙濈煞箑翜翣菨萐閯霅霎
sha5,繌
ta1A|55,㯚䌈他嚃塌太她它榙溻牠祂褟趿踏遢鉈铊闧靸
ta1B|35,蹹
ta2|214,㗳㺚呾塔墖溚獭獺鰨鳎鿎
ta3|51,㒓㛥㣛㣵㧺㭼㯓㳠㹺㿹䂿䈋䈳䌈䍇䍝䎓䑜䑽䓠䜚䪚䳴䵬䶀䶁傝哈嗒嚃嚺崉拓挞搨搭撻榻橽毾沓涾漯澾濌濕狧禢荅誻譶踏蹋躢达達遝遢錔鎉鎑闒闟闥闼阘鞈鞜鞳韃鮙
ta5,侤咜遢
za1A|55,㞉㦫䆘匝咂啑嘁噈帀扎拶沞灒紥紮臜臢迊鉔魳
za1B|35,䕹䞙䣠䨿䪞偺咱啈啐喒囋囐杂沯砸磼籴襍雑雜雥韴
za2|214,咋咱囃
za3|51,喒
zha1A|55,㗬㦋㪥㾴䐒䵙䶥偧劄吒咋哳喳囃奓扎抯挓揸摣柤查査楂樝渣溠潳皶皻紥紮蔖藸觰謯譇蹅齄齇齟
zha1B|35,㔍㱜㳐㴙䈟䥷䮜䮢偞剳劄喋扎拃擖札渫炸煠牐甴箑箚耫蚻譗軋轧鍘铡閘闸霅鞢鰈
zha2|214,㒀㞚㡸㴙㷢䀹䃎䋾䕢䙄䛽䱹䵙厏扎扠拃插搩眨砟苲苴觰諎謯踷鮓鮺鲊鲝
zha3|51,㡸䃎䄍䆛䋏䖳䟻乍册吒咋咤哆喥奓宱怍拃搾柞柵栅榨溠灹炸痄砟笮膪苲蚱蜡詐诈醡霅鮓齰
zha5,喳馇
ai1A|55,㶼剴哀哎唉嗳噯埃娭挨捱欸溾諰銰鎄锿
ai1B|35,㱯䔇䠹䶣凒厓呆啀嘊娾嵦挨捱敱敳溰獃癌皑皚磑隑騃
ai2|214,㗨㢊㾨䑂䨠乃佁唉嗳噫噯奇娾昹欸毐濭烠矮絠蔼藹謁譪躷霭靄鯦
ai3|51,㕌㗒㘷㝵㝶㤅㾢㿄䀳䅬䔽䝽䬵乂伌僾儗叆呃唉嗌嗳噯堨塧壒嫒嬡愛懓懝暧曖欬焥爱瑷璦皧瞹砹硋碍礙艾薆譺賹醷鑀閡阨阸隘靉餲馤鱫鴱
bai1A|55,㓦㧳䠋䪹挀掰擘
bai1B|35,㿟䳆拜白
bai2|214,䙓伯佰捭摆擺柏栢瓸百竡粨絔罷襬
bai3|51,㔥㠔䒔䢙呗唄啡庍扒拜拝排敗派猈稗粺薜薭贁败鞁鞴韛
bai5,㗑
cai1A|55,㥒䞗䟀䠕偲啋揌猜
cai1B|35,㒲䴭才扐材纔裁財财
cai2|214,㥒䌽䐆䣋倸啋埰婇寀彩採毝睬綵跴踩采
cai3|51,䌨䰂埰寀棌縩菜蔡采
chai1A|55,㼮䐤䞗差扠拆搓芆釵钗
chai1B|35,㑪㾹䓱侪儕喍查柴犲祡茈豺齜
chai2|214,䜺茝
chai3|51,㦅㳗䘍囆差瘥蔕虿蠆袃訍
dai1A|55,呆呔嘚待懛歹獃
dai2|214,䚞䚟傣歹逮
dai3|51,㐲㞭㯂㶡㻖㿃䈆䒫䠠䲦代侢叇垈埭大媞岱帒带帯帶廗待怠戴曃柋棣殆毒瀻玳瑇甙箉簤紿緿绐艜蔕蚮蝳螮袋襶詒貸贷跢蹛軑軚軩載轪迨逮逯遞遰隶霴靆馱駘骀鴏黛黱
dai5,鮘
gai1A|55,㱾䀭䐩䬵䶣侅咳垓姟峐晐核畡祴絯胲荄該该豥賅賌赅郂閡陔隑骸
gai2|214,䪱忋改絠胲
gai3|51,㕢㧉㮣䏗丐乢匃匄戤摡杚概槩槪汽溉漑瓂盖磑芥葢蓋鈣钙阣隑
hai1A|55,㨟㰧㰩㱼㾂咍咳嗨
hai1B|35,㜾䠽䪱䯐䱺咳咴孩还還郂頦骸
hai2|214,塰浬海烸胲酼醢
