Syllable/Combination,汉字
ok4A|1,惡
bok4A|1,博剝駁膊搏
pok4A|1,泊樸拍撲珀璞舶
pok4B|5,薄雹箔礴
mok4A|1,募膜幕寞漠瘼
mok4B|5,莫
fok4A|1,豁霍藿獲沃穫
vok4A|1,握齷
vok4B|5,鑊
dok4A|1,琢啄涿
tok4A|1,託托
tok4B|5,度鐸踱擇
nok4A|1,諾
lok4A|1,絡
lok4B|5,落烙駱酪洛樂鉻
zok4A|1,作着酌桌卓捉斫
cok4A|1,錯齪亍
cok4B|5,鑿昨柞着戳
sok4A|1,塑索綽芍朔爍灼溯
sok4B|5,勺杓
gok4A|1,覺各閣擱角桷
kok4A|1,郝擴確搉瞌榷恪
kok4B|5,磕
ngok4B|5,樂鄂嶽岳愕齶噩鱷萼顎
hok4A|1,殼燩
hok4B|5,鶴學貉
yi1A|44,於淤與乳吁迂于盂禹羽伊醫以衣依翳竽
yi1B|11,如余餘儒倪兒移夷姨而飴寅怡孺蠕貽胰
yi2|31,雨宇倚椅已裔綺
yi3|53,譽預豫榆逾愉愈喻裕易肄意異億臆俞諭
bi1A|44,蓖杯碑卑悲飛陂蜱
bi2|31,彼臂比匕妣
bi3|53,貝蔽敝弊幣斃閉箅輩祕痹篦疿潷
pi1A|44,批胚披疲被婢丕庇帔
pi1B|11,培陪皮脾琵枇肥
pi2|31,陛鄙痞
pi3|53,沛倍配佩屁備鼻蓓
mi1A|44,每美尾抹瞇咪
mi1B|11,迷謎糜眉楣媚微嵋
mi2|31,米
mi3|53,昧媚寐味沕魅袂
fi1A|44,非飛妃匪翡揮輝徽菲啡暉緋扉蜚斐
fi1B|11,回茴蛔
fi2|31,諱卉
fi3|53,會悔匯晦廢肺惠慧費彙彗薈誨蕙
vi1A|44,倭萎委威諉
vi1B|11,為維惟遺唯違圍帷濰
vi2|31,偉葦緯韋瑋
vi3|53,衛為位未畏慰胃謂蝟尉蔚
di1A|44,知裏
di2|31,抵邸棣詆砥
di3|53,帝締蒂諦
ti1B|11,堤題提蹄啼
ti2|31,體
ti3|53,弟替涕剃遞地嚏悌銻苐
ni1A|44,汝爾蟻你
ni1B|11,泥尼呢妮
ni2|31,爾誼
ni3|53,膩蒂
li1A|44,呂禮狸里理鯉鋁俚哩
li1B|11,犁黎離籬璃梨釐漓鸝
li2|31,旅履李里裏娌侶屨
li3|53,慮濾例厲勵麗隸荔利痢吏莉儷蠣唳
zi1A|44,棲擠淒悽萋
zi2|31,姊
zi3|53,祭際濟劑
ci1A|44,趨妻薺淒
ci1B|11,徐齊臍薺餈
ci2|31,取娶
ci3|53,聚趣
si1A|44,須鬚需篩西犀胥
si2|31,死
si3|53,序敍緒絮四肆
gi1A|44,車居拘駒支飢肌几基機譏饑箕羈乩
gi2|31,舉據矩冀己杞幾
gi3|53,拒鋸句計繼髻寄紀記旣季悸
ki1A|44,渠巨距區驅岐企徛技妓欺伎衢
ki1B|11,奇騎祁鰭其棋期旗祈沂歧畸萁
ki2|31,瞿懼啓忌豈
ki3|53,俱具
ngi1A|44,語
ngi1B|11,愚虞宜儀疑
ngi2|31,汝耳餌擬洱
ngi3|53,御禦遇寓藝義議二貳毅
hi1A|44,墟虛嘘稽奚兮犧嬉熙希稀嘻熹羲嵇
hi2|31,許起喜禧詡
hi3|53,去繫系係戲器棄氣汽憇
a1A|44,阿鴉丫亞
a2|31,啞亞
ba1A|44,巴芭疤爸粑葩吧笆
ba2|31,把靶
ba3|53,霸欛壩垻灞
pa1A|44,扒
pa1B|11,爬琶杷耙䶕
pa3|53,怕帕罷
ma1A|44,媽馬碼螞瑪
ma1B|11,麻蟆痳蔴嫲
ma2|31,馬
ma3|53,罵
fa1A|44,花
fa1B|11,華鏵划樺嘩
fa3|53,化畫話
va1A|44,蛙窪挖娃哇
va3|53,話
da2|31,打
ta1A|44,他它
na1A|44,拿
la1A|44,拉啦
la1B|11,喇邏
la3|53,罅
za1A|44,查渣遮抓喳摣
za2|31,者赭鍺
za3|53,詐榨炸乍蔗窄蚱鷓柘
ca1A|44,叉杈差車奢賒釵
ca1B|11,茶搽查
ca2|31,扯
ca3|53,岔
sa1A|44,莎沙紗社砂痧鯊裟
sa1B|11,蛇佘儕
sa2|31,灑捨耍
sa3|53,射麝赦舍
ga1A|44,家加痂嘉傢佳枷袈
ga2|31,假賈
ga3|53,架駕嫁稼價
ka1A|44,揩
ka1B|11,卡
nga1B|11,牙芽衙蚜孲
nga2|31,雅瓦訝
ha1A|44,下
ha1B|11,蝦霞瑕遐
ha2|31,下暇卸
ha3|53,廈下夏
yia1A|44,也野揖
yia1B|11,耶爺
yia2|31,野
yia3|53,夜
dia1A|44,爹
zia2|31,姐
zia3|53,借
cia1B|11,斜
cia2|31,且
cia3|53,斜謝榭
sia1A|44,些
sia1B|11,邪斜
sia2|31,寫
sia3|53,瀉
kia1B|11,㨙
ngia1A|44,惹
ngia2|31,惹
o1A|44,阿屙婀孲
bo1A|44,波菠坡玻簸褒煲
bo3|53,播鄱
po1A|44,坡
po1B|11,婆
po2|31,頗叵
po3|53,破剖
mo1A|44,摩摸
mo1B|11,魔磨無誣麼
mo3|53,磨
fo1B|11,和夥
fo2|31,火夥
fo3|53,賀和禍貨壑
vo1A|44,倭窩蝸渦媧
vo1B|11,和禾
do1A|44,多
do2|31,朶躱刴島跺
to1A|44,拖
to1B|11,駝馱舵坨陀佗沱砣鴕
to2|31,妥
to3|53,惰唾墮
no1B|11,挪摟娜
no3|53,糯懦
lo1A|44,囉
lo1B|11,羅鑼籮騾螺腡蘿邏玀
zo2|31,左佐
zo3|53,做
co1A|44,坐
co1B|11,挫
co3|53,銼座
so1A|44,蓑梭唆嗦
so1B|11,傻
so2|31,鎖瑣所
go1A|44,歌哥
ko1A|44,戈科棵苛柯蝌坷軻珂
ko2|31,可
ko3|53,裸棵顆課
ngo1A|44,我
ngo1B|11,蛾鵝俄訛峨娥
ho1B|11,河何荷
yio1A|44,喲
kio1B|11,茄瘸
hio1A|44,靴
m1B|11,唔
ai1A|44,挨唉
ai2|31,矮
ai3|53,藹隘靄
bai2|31,擺
bai3|53,簸拜湃
pai1A|44,砒
pai1B|11,排牌簰徘
pai3|53,派敗
mai1A|44,買
mai1B|11,埋
mai2|31,邁
mai3|53,賣
fai1B|11,懷槐淮
fai3|53,壞
vai1A|44,歪
vai3|53,餧
dai1A|44,獃低歹
dai2|31,底
dai3|53,戴帶
tai1A|44,弟娣
tai1B|11,蹄啼
tai2|31,癩
tai3|53,大待怠殆態太泰汰
nai1A|44,乃奶
nai1B|11,泥
nai2|31,鼐
nai3|53,耐萘
lai1B|11,犁黎
lai2|31,睞
lai3|53,賴籟
zai1A|44,災栽齋哉
zai2|31,宰載滓
zai3|53,再債
cai1A|44,搓差猜釵
cai1B|11,裁柴
cai2|31,彩採踩
cai3|53,在蔡寨
sai1A|44,舐釃
sai1B|11,豺
sai2|31,璽徙
sai3|53,曬帥
kai1A|44,㧡
ngai1B|11,崖捱
ngai3|53,艾捱
hai1A|44,溪
hai1B|11,孩諧駭鞋偕
hai2|31,蟹
hai3|53,械懈
yiai1A|44,埃挨
yiai1B|11,椰
giai1A|44,皆階
giai2|31,解
giai3|53,介界芥疥屆戒誡
oi1A|44,哀㗒
oi3|53,愛噯
boi3|53,背褙
poi1A|44,胚坯
poi1B|11,賠
poi3|53,背吠
moi1B|11,梅枚媒黴玫莓
moi3|53,妹
foi1A|44,恢灰
voi1A|44,煨
voi3|53,會
doi1A|44,堆
doi2|31,躉
doi3|53,碓
toi1A|44,胎梯
toi1B|11,臺苔抬枱
toi3|53,貸代袋黛玳
loi1B|11,來
loi2|31,萊
loi3|53,徠
zoi1A|44,朘
zoi3|53,載嘴
coi1A|44,在吹炊
coi1B|11,才材財纔
coi2|31,睬在
coi3|53,菜脆
soi1A|44,腮鰓衰
soi3|53,賽稅睡說
goi1A|44,該垓賅頦
goi2|31,改
goi3|53,蓋丐鈣
koi1A|44,開
koi2|31,凱概漑慨楷
ngoi1B|11,呆
ngoi3|53,礙外
hoi1A|44,在
hoi2|31,海
hoi3|53,亥害
yiui3|53,銳
au1A|44,坳凹
au2|31,襖拗
au3|53,懊奧澳
bau1A|44,包胞苞皰
bau2|31,保堡寶飽葆褓
bau3|53,報豹爆齙
pau1A|44,泡拋跑
pau1B|11,袍刨鉋庖
pau3|53,抱暴泡鮑爆炮咆
mau1A|44,毛卯鉚犛
mau1B|11,茅錨矛
mau2|31,藐
mau3|53,冒帽貌
dau1A|44,刀叨
dau2|31,禱倒
dau3|53,道到
tau1A|44,滔稻導蹈韜縚
tau1B|11,掏桃逃淘陶萄濤綯
tau2|31,討
tau3|53,道套盜悼
nau1A|44,惱
nau1B|11,撓
nau2|31,腦惱瑙
nau3|53,鬧
lau1A|44,褸
lau1B|11,勞牢癆
lau2|31,嘮老
lau3|53,勞
zau1A|44,遭糟朝昭招嘲釗㷮
zau2|31,早棗蚤爪找搔
zau3|53,竃罩笊沼照詔
cau1A|44,操抄鈔超
cau1B|11,曹槽吵朝潮嘈漕
cau2|31,草騲炒
cau3|53,澡皂造躁糙趙耖燥
sau1A|44,臊梢捎稍燒艄
sau1B|11,巢繰韶
sau2|31,嫂少
sau3|53,掃潲兆召少紹邵肇劭
gau1A|44,高膏篙羔糕交郊膠教跤睾姣蛟鮫
gau2|31,稿犒絞狡鉸攪搞校較皎縞
gau3|53,告教酵窖誥骹
kau1A|44,敲
kau2|31,考烤巧拷
kau3|53,靠銬珓
ngau1A|44,咬
ngau1B|11,熬肴淆嗷翱鼇
ngau3|53,傲
hau1A|44,浩耗昊皓
hau1B|11,豪壕毫號嚎濠
hau2|31,好
hau3|53,號好孝效
yiau1A|44,妖邀腰要么吆夭
yiau1B|11,陶搖謠窰姚遙瑤
yiau2|31,擾舀
yiau3|53,要耀鷂
biau1A|44,錶
biau2|31,表婊裱
piau1A|44,標漂彪鏢縹
piau1B|11,瓢嫖浮藻
piau2|31,剖
piau3|53,漂鰾票
miau1B|11,苗描瞄
miau2|31,渺秒杳貿謬繆淼緲
miau3|53,貓廟妙茂
diau1A|44,刁貂雕鳥凋碉
diau2|31,鳥
diau3|53,調釣弔
tiau1A|44,挑佻
tiau1B|11,條調迢
tiau3|53,調跳糶掉眺
liau1A|44,撩
liau1B|11,燎療聊遼鐐嘹潦繚嫽寮獠
liau2|31,了瞭
liau3|53,料廖嬲
ziau1A|44,焦蕉椒樵礁
ziau2|31,剿
ziau3|53,醮
ciau1B|11,樵
ciau3|53,俏噍誚
siau1A|44,消宵霄硝銷蕭簫肖逍
siau1B|11,逍
siau2|31,小筱
siau3|53,笑鞘嘯
giau1A|44,驕嬌姣
giau1B|11,餃
giau2|31,矯
giau3|53,叫譥
kiau1A|44,敲翹藠
kiau1B|11,喬僑橋蕎蹻
kiau3|53,轎竅翹
ngiau1A|44,鳥
ngiau1B|11,饒堯嬈
ngiau2|31,繞
ngiau3|53,尿
hiau1A|44,囂梟
hiau1B|11,媱
hiau2|31,曉
hiau3|53,翹
eau1A|44,區歐甌毆謳鷗
eau2|31,嘔慪
eau3|53,漚熰
meau1A|44,某畝牡
meau1B|11,謀繆眸牟
feau1B|11,浮
feau2|31,否
feau3|53,埠
deau1A|44,兜
deau2|31,斗抖陡
deau3|53,鬥竇
teau1A|44,偷
teau1B|11,頭投
teau2|31,㪗
teau3|53,透豆逗讀痘荳酘
neau2|31,紐扭
leau1B|11,樓婁嘍瘺
leau2|31,縷簍髏螻
leau3|53,漏陋嘍
zeau1A|44,鄒
zeau2|31,走
zeau3|53,奏
ceau2|31,驟
ceau3|53,湊
seau1A|44,搜颼餿蒐
seau1B|11,愁
seau2|31,叟艘擻藪
seau3|53,嗽瘦漱
geau1A|44,勾鉤溝鳩糾篝
geau2|31,狗苟垢枸
geau3|53,彀够構購媾
keau1A|44,箍摳鬮
keau2|31,口叩
keau3|53,扣寇
ngeau2|31,藕偶
heau1B|11,侯喉猴篌
heau2|31,口
heau3|53,後厚后候
yiu1A|44,有友酉攸
yiu1B|11,柔揉憂優尤郵由油游猶悠鼬幽
yiu2|31,有
yiu3|53,誘右祐柚釉幼宥鈾黝
diu1A|44,丟
liu1A|44,柳溜
liu1B|11,流劉留榴硫琉瘤瀏
liu2|31,柳
liu3|53,溜餾
ziu1A|44,揫啾
ziu2|31,酒肘
ziu3|53,皺縐謅
ciu1A|44,揫秋鞦鰍
ciu1B|11,泅
ciu3|53,就袖宙鷲
siu1A|44,修羞饈
siu1B|11,囚酋遒
siu3|53,秀繡銹莠
giu2|31,九久韭玖
giu3|53,灸咎救究柩疚廄
kiu1A|44,臼舅桕
kiu1B|11,求球裘俅逑
kiu3|53,舊
ngiu1B|11,牛
ngiu2|31,紐扭
ngiu3|53,扭
hiu1A|44,丘休邱咻
hiu2|31,臭朽嗅
yim1A|44,音陰蔭
yim2|31,飲
yim3|53,任賃蔭飪
lim1A|44,檁廩
lim1B|11,林淋臨琳霖
lim2|31,凜懍
zim3|53,浸
cim1A|44,侵駸
cim1B|11,尋
cim2|31,寢
sim1A|44,心芯
sim2|31,沁
sim3|53,囟
gim1A|44,今金
gim2|31,錦
