Syllable/Combination,汉字
yuan1A|31,冤淵鴛
yuan1B|24,圓員緣元原源袁轅園援媛猿苑垣爰黿
yuan2|212,遠
yuan3|44,院願怨
zyuan1A|31,鐫
zyuan3|44,雋
cyuan1A|31,悛
cyuan1B|24,全泉痊詮荃筌
syuan1A|31,鮮宣喧萱
syuan1B|24,旋璿
syuan2|212,癬選
syuan3|44,旋漩渲
jyuan1A|31,捐鵑娟涓狷
jyuan2|212,繭捲
jyuan3|44,緝鍵腱圈卷倦券棬
qyuan1A|31,圈
qyuan1B|24,拳權顴
qyuan2|212,犬
qyuan3|44,勸
xyuan1A|31,軒暹暄
xyuan1B|24,鮮弦玄懸眩舷炫
xyuan3|44,楦泫
er1B|24,兒而
er2|212,爾耳餌邇洱
er3|44,二貳
yi1A|31,伊醫衣依裔銥噫黟
yi1B|24,刈宜儀誼移夷姨疑沂遺怡貽胰頤彝懿眙嶷
yi2|212,蟻倚椅矣已以尾
yi3|44,藝義議易肄意異毅憶億羿臆詣癔翳眙屹勚
bi1A|31,祕屄
bi2|212,鄙比媲
bi3|44,蔽敝弊幣斃陛閉臂避祕泌庇痹篦闢匕毖
pi1A|31,批坯披丕砒毗紕
pi1B|24,皮疲脾琵啤陂苤
pi2|212,秕否痞羆
pi3|44,譬屁
mi1A|31,瞇渳
mi1B|24,迷謎糜彌靡縻獼麋醚禰蘼弭
mi2|212,米瞇
mi3|44,祕泌沫
di1A|31,低
di2|212,底抵邸詆砥
di3|44,弟帝第遞地締蒂諦
ti1A|31,梯
ti1B|24,堤題提蹄啼醍
ti2|212,體
ti3|44,替涕屉
li1B|24,泥犁黎倪離籬璃尼梨釐狸呢霓喱罹妮蠡猁睨
li2|212,禮你李里裏理鯉擬俚
li3|44,例厲勵泥麗隸離荔膩利痢吏歷曆瀝莉俐昵醴蒞詈蠣
zi1A|31,擠
zi2|212,擠濟
zi3|44,祭際濟劑
ci1B|24,齊臍茈
ci3|44,砌沏
si1A|31,西犀圾樨
si2|212,洗璽徙
si3|44,細
ji1A|31,雞稽奇飢肌几基機譏饑屐箕羈姬畸磯嵇汲乩墼
ji2|212,己幾蟣麂
ji3|44,計繼繫技妓寄冀紀杞記忌旣季悸暨驥覬鯚
qi1A|31,溪欺期豈蹊
qi1B|24,畦奇騎岐祁鰭其棋旗歧崎琪琦祺畸麒耆騏綺
qi2|212,啓企起杞祈
qi3|44,契器棄氣汽
xi1A|31,溪奚兮犧熙稀嘻熹羲曦蹊嬝硒欷烯僖
xi1B|24,奚攜
xi2|212,喜蟢
xi3|44,繫系戲
gi2|212,給
ki3|44,去
wu1A|31,烏汚塢巫誣嗚鎢鄔
wu1B|24,吳蜈梧無蕪
wu2|212,吾五伍午武舞侮鵡捂忤嫵仵
wu3|44,誤悟惡務霧晤痦騖
bu2|212,補捕哺
bu3|44,部簿布佈怖步埠鈽
pu1A|31,鋪潽
pu1B|24,蒲菩葡匍
pu2|212,脯譜普浦捕甫哺圃莆
pu3|44,鋪
mu2|212,畝牡母拇姆
fu1A|31,夫膚敷麩
fu1B|24,俘孵符扶芙浮鳧蜉苻涪
fu2|212,府腑俯斧撫釜腐輔
fu3|44,父付賦傅赴訃附婦負阜富副咐
du1A|31,都
du2|212,堵賭肚睹
du3|44,肚杜妬度渡鍍
tu1B|24,徒屠途塗圖荼
tu2|212,土吐
tu3|44,唾吐兔
lu1B|24,奴盧爐蘆廬顱駑
lu2|212,努魯虜滷擄弩
lu3|44,怒路露
zu1A|31,租
zu2|212,祖組阻詛
zu3|44,助
cu1A|31,粗初
cu1B|24,鋤雛芻
cu2|212,楚
cu3|44,醋
su1A|31,蘇酥疏
su2|212,數
su3|44,素訴塑嗉疏數
zhu1A|31,豬諸誅蛛株朱硃珠茱侏銖
zhu2|212,煑拄主渚
zhu3|44,著駐註住注蛀鑄貯疰
chu1A|31,攄
chu1B|24,除儲杵黍廚殊櫥躇躕滁蜍
chu2|212,褚礎處暑鼠署薯樞
chu3|44,處
shu1A|31,蔬書舒輸抒
shu2|212,署薯
shu3|44,庶恕豎樹漱墅
ru1B|24,如儒茹孺蠕濡
ru2|212,汝乳
gu1A|31,姑孤箍菇咕辜沽蛄
gu2|212,古估牯股鼓蠱崮詁臌
gu3|44,故固錮雇顧痼
ku1A|31,枯骷
ku2|212,苦
ku3|44,庫褲絝
hu1A|31,呼乎敷糊
hu1B|24,胡湖狐壺鬍蝴糊弧瑚煳醐
hu2|212,虎滸琥
hu3|44,瓠戶滬互護糊唬扈
yu1A|31,淤迂瘀
yu1B|24,魚漁於余與愚虞娛迂于盂榆逾愉愈禺俞輿予隅渝瑜竽
yu2|212,語雨宇禹羽嶼
yu3|44,御禦譽預遇寓吁芋喻裕玉馭諭
lyu1B|24,驢
lyu2|212,女呂旅縷屢履鋁褸蠡閭侶
lyu3|44,慮濾
zyu1A|31,疽雎
zyu2|212,沮狙咀
zyu3|44,聚
cyu1A|31,蛆趨
cyu1B|24,徐
cyu2|212,取娶
cyu3|44,趣
syu1A|31,須鬚需
syu3|44,序敍緒絮壻
jyu1A|31,車居拘駒
jyu2|212,舉矩
jyu3|44,巨拒距鋸俱具懼劇踞炬颶倨
qyu1A|31,區驅軀嶇
qyu1B|24,渠衢
qyu2|212,蛐
qyu3|44,去
xyu1A|31,虛盱
xyu2|212,滸許
xyu3|44,酗
a1A|31,阿
a2|212,阿
a3|44,阿
ba1A|31,巴芭疤杷扒粑吧笆
ba2|212,把㞎
ba3|44,霸欛壩垻爸耙罷靶
pa1A|31,趴
pa1B|24,爬琶耙扒䶕筢
pa3|44,怕
ma1A|31,蟆媽
ma1B|24,麻嗎
ma2|212,馬碼拇螞瑪
ma3|44,罵
da2|212,打
da3|44,大
ta1A|31,他她它
la1A|31,拉垃
la1B|24,拿藍
la2|212,哪喇
la3|44,娜
la,啦
za1A|31,拃咋摣
za2|212,吒
za3|44,吒
sa2|212,灑撒
zha1A|31,查渣抓蚱吒
zha2|212,爪
zha3|44,榨炸拃痄摣
cha1A|31,叉杈差
cha1B|24,茶查茬
cha2|212,衩鑔
cha3|44,岔汊
sha1A|31,莎沙紗杉砂痧鯊裟
sha2|212,傻耍
sha3|44,廈
ga1A|31,咖
ka1A|31,咖
ka2|212,卡
ya1A|31,鴉丫椏挜
ya1B|24,牙芽衙涯蚜琊
ya2|212,雅啞
ya3|44,亞訝
dia2|212,嗲
jia1A|31,家加嘉傢佳枷伽袈
jia2|212,假賈
jia3|44,假架駕嫁稼價
qia2|212,卡
xia1A|31,蝦
xia1B|24,蝦霞瑕遐暇
xia3|44,廈下夏
wa1A|31,窪娃哇媧
wa1B|24,娃
wa2|212,瓦佤
zhua1A|31,抓
zhua2|212,爪
shua2|212,耍
gua1A|31,瓜
gua2|212,寡剮
gua3|44,掛卦褂
kua1A|31,誇
kua2|212,侉垮挎
kua3|44,跨胯
hua1A|31,花
hua1B|24,華划嘩驊
hua3|44,化畫話劃
ye1A|31,耶椰
ye1B|24,爺
ye2|212,也野冶
ye3|44,夜
die1A|31,爹
zie2|212,姐
zie3|44,借
cie2|212,且
sie1B|24,邪斜
sie2|212,些寫
sie3|44,瀉卸謝泄榭
jie1A|31,遮
o1A|31,阿窩蝸屙萵渦斡撾
o1B|24,蛾鵝俄訛峨娥
o2|212,我
o3|44,餓臥
bo1A|31,波菠頗玻簸播
bo3|44,簸菔
po1A|31,坡
po1B|24,婆鄱
po2|212,頗跛叵
po3|44,破薄剖
mo1A|31,摸
mo1B|24,魔磨模摹蘑
mo2|212,抹
mo3|44,磨暮慕墓募茂貿幕
do1A|31,多
do2|212,朶躱
do3|44,舵惰刴墮跺
to1A|31,拖
to1B|24,駝馱坨陀佗砣鴕柁跎
to2|212,妥橢
to3|44,唾
lo1A|31,囉
lo1B|24,挪羅鑼籮哪騾螺腡瘰蘿邏漯
lo2|212,裸虜捋
lo3|44,糯摞駱懦
zo1B|24,昨
zo2|212,左佐
zo3|44,坐座做
co1A|31,搓蹉
co1B|24,昨
co3|44,銼措錯挫
so1A|31,蓑梭唆梳
so1B|24,縮
so2|212,鎖瑣所嗩
so3|44,漱
go1A|31,歌哥鍋戈
go2|212,果裹餜騍
go3|44,個過
ko1A|31,科窠棵顆苛柯蝌軻
ko2|212,可
ko3|44,課
ho1A|31,呵呵
ho1B|24,河何荷和禾
ho2|212,火夥
ho3|44,荷禍貨
ai1A|31,哀埃挨
ai1B|24,呆捱癌皚
ai2|212,矮
ai3|44,礙艾愛藹隘曖
bai1A|31,擘
bai2|212,擺
bai3|44,拜稗敗湃
pai1B|24,排牌徘
pai3|44,派
mai1B|24,埋
mai2|212,買
mai3|44,賣邁
dai1A|31,獃
dai2|212,歹逮
dai3|44,待怠戴貸代袋逮
tai1A|31,胎台苔
tai1B|24,臺抬
tai3|44,態太泰汰
lai1A|31,奶
lai1B|24,來萊
lai2|212,乃奶
lai3|44,耐奈賴癩
lai,唻
zai1A|31,災栽
zai2|212,宰載崽仔
zai3|44,在再
cai1A|31,猜
cai1B|24,才材財裁纔豺
cai2|212,彩採睬踩
cai3|44,菜蔡
sai1A|31,腮鰓
sai3|44,賽塞
zhai1A|31,齋
zhai2|212,者
zhai3|44,債寨
chai1A|31,差釵
chai1B|24,柴
shai1A|31,奢篩
shai2|212,捨
shai3|44,社麝舍曬
gai1A|31,該稭
