CH	UCODE	CRZJ_1	INIT	FINL	TONE	DESC	DESC_CRZJ_1
㐀	U+3400	jeu1A|55	j	eu	1A|55		
㐁	U+3401	dou3B|22	d	ou	3B|22		
㐂	U+3402	cet4Aa|5	c	et	4Aa|5		
㐃	U+3403	zim1A|55	z	im	1A|55		
㐄	U+3404	kwa1A|55	kw	a	1A|55		
㐅	U+3405	ng2B|13		ng	2B|13		
㐅	U+3405	m2B|13		m	2B|13		
㐆	U+3406	ji1A|55	j	i	1A|55		
㐇	U+3407	geu2A|35	g	eu	2A|35		
㐈	U+3408	jep4B|2	j	ep	4B|2		
㐉	U+3409	ding1A|55	d	ing	1A|55		
㐊	U+340A	si3B|22	s	i	3B|22		
㐋	U+340B	tou2A|35	t	ou	2A|35		
㐌	U+340C	ji1B|21	j	i	1B|21		
㐍	U+340D	zau2A|35	z	au	2A|35		
㐎	U+340E	men1B|21	m	en	1B|21		
㐏	U+340F	ng2B|13		ng	2B|13		
㐏	U+340F	m2B|13		m	2B|13		
㐐	U+3410	nou1B|21	n	ou	1B|21		
㐐	U+3410	lou1B|21	l	ou	1B|21		
㐑	U+3411	dung1A|55	d	ung	1A|55		
㐒	U+3412	ziu3B|22	z	iu	3B|22		
㐓	U+3413	ho2A|35	h	o	2A|35		
㐔	U+3414	heng1A|55	h	eng	1A|55		
㐕	U+3415	jeu1B|21	j	eu	1B|21		
㐖	U+3416	kit4Ab|3	k	it	4Ab|3		
㐗	U+3417	lou2B|13	l	ou	2B|13		
㐘	U+3418	mei2B|13	m	ei	2B|13		
㐙	U+3419	deu3B|22	d	eu	3B|22		
㐚	U+341A	ng1B|21		ng	1B|21		
㐚	U+341A	m1B|21		m	1B|21		
㐛	U+341B	jeu3B|22	j	eu	3B|22		
㐜	U+341C	seu1B|21	s	eu	1B|21		
㐝	U+341D	koei1A|55	k	oei	1A|55		
㐞	U+341E	keai1B|21	k	eai	1B|21		
㐟	U+341F	feai1A|55	f	eai	1A|55		
㐠	U+3420	jyu2B|13	j	yu	2B|13		
㐡	U+3421	no3B|22	n	o	3B|22		
㐡	U+3421	lo3B|22	l	o	3B|22		
㐢	U+3422	feu1B|21	f	eu	1B|21		
㐣	U+3423	fu3A|33	f	u	3A|33		
㐤	U+3424	dan1A|55	d	an	1A|55		
㐥	U+3425	co1B|21	c	o	1B|21		
㐦	U+3426	goei2A|35	g	oei	2A|35		
㐧	U+3427	coi1B|21	c	oi	1B|21		
㐨	U+3428	zoei3B|22	z	oei	3B|22		
㐩	U+3429	jing1B|21	j	ing	1B|21		
㐪	U+342A	si2A|35	s	i	2A|35		
㐫	U+342B	hung1A|55	h	ung	1A|55		
㐬	U+342C	leu1B|21	l	eu	1B|21		
㐭	U+342D	lem2B|13	l	em	2B|13		
㐮	U+342E	seong1A|55	s	eong	1A|55		
㐯	U+342F	jung1B|21	j	ung	1B|21		
㐰	U+3430	soen3A|33	s	oen	3A|33		
㐱	U+3431	cen2A|35	c	en	2A|35		
㐲	U+3432	dai3B|22	d	ai	3B|22		
㐳	U+3433	nget4B|2	ng	et	4B|2		
㐳	U+3433	et4B|2		et	4B|2		
㐴	U+3434	pan1A|55	p	an	1A|55		
㐵	U+3435	jyu1B|21	j	yu	1B|21		
㐶	U+3436	ci2B|13	c	i	2B|13		
㐷	U+3437	ma3B|22	m	a	3B|22		
㐷	U+3437	ma3A|33	m	a	3A|33		
㐸	U+3438	him3A|33	h	im	3A|33		
㐹	U+3439	nget4B|2	ng	et	4B|2		
㐹	U+3439	et4B|2		et	4B|2		
㐺	U+343A	jem1B|21	j	em	1B|21		
㐻	U+343B	noi3B|22	n	oi	3B|22		
㐻	U+343B	loi3B|22	l	oi	3B|22		
㐼	U+343C	cing2A|35	c	ing	2A|35		
㐽	U+343D	fung1A|55	f	ung	1A|55		
㐾	U+343E	wun3B|22	w	un	3B|22		
㐿	U+343F	seu2A|35	s	eu	2A|35		
㑀	U+3440	tai3A|33	t	ai	3A|33		
㑁	U+3441	zoet4Aa|5	z	oet	4Aa|5		
㑂	U+3442	fong2A|35	f	ong	2A|35		
㑃	U+3443	au2A|35		au	2A|35		
㑃	U+3443	ngau2A|35	ng	au	2A|35		
㑄	U+3444	mou2B|13	m	ou	2B|13		
㑅	U+3445	zok4Ab|3	z	ok	4Ab|3		
㑆	U+3446	hing1A|55	h	ing	1A|55		
㑇	U+3447	zeu3A|33	z	eu	3A|33		
㑇	U+3447	ceu1A|55	c	eu	1A|55		
㑈	U+3448	dung1A|55	d	ung	1A|55		
㑉	U+3449	suk4Aa|5	s	uk	4Aa|5		
㑊	U+344A	jik4B|2	j	ik	4B|2		
㑋	U+344B	hung3A|33	h	ung	3A|33		
㑌	U+344C	hong1A|55	h	ong	1A|55		
㑌	U+344C	wong1A|55	w	ong	1A|55		
㑍	U+344D	loi3B|22	l	oi	3B|22		
㑎	U+344E	nou2B|13	n	ou	2B|13		
㑎	U+344E	lou2B|13	l	ou	2B|13		
㑏	U+344F	cyu2B|13	c	yu	2B|13		
㑐	U+3450	suk4Aa|5	s	uk	4Aa|5		
㑑	U+3451	zet4B|2	z	et	4B|2		
㑒	U+3452	cim1A|55	c	im	1A|55		
㑓	U+3453	zoen3A|33	z	oen	3A|33		
㑔	U+3454	soei2A|35	s	oei	2A|35		
㑕	U+3455	soei3A|33	s	oei	3A|33		
㑖	U+3456	zung3B|22	z	ung	3B|22		
㑗	U+3457	sen1A|55	s	en	1A|55		
㑘	U+3458	gai3A|33	g	ai	3A|33		
㑙	U+3459	dip4Ab|3	d	ip	4Ab|3		
㑚	U+345A	na2B|13	n	a	2B|13		
㑚	U+345A	la2B|13	l	a	2B|13		
㑛	U+345B	suk4Aa|5	s	uk	4Aa|5		
㑜	U+345C	jei3B|22	j	ei	3B|22		
㑝	U+345D	lung3B|22	l	ung	3B|22		
㑞	U+345E	jing3B|22	j	ing	3B|22		
㑟	U+345F	beng2A|35	b	eng	2A|35		
㑠	U+3460	gin1A|55	g	in	1A|55		
㑡	U+3461	zik4Aa|5	z	ik	4Aa|5		
㑢	U+3462	keok4Ab|3	k	eok	4Ab|3		
㑣	U+3463	lam1B|21	l	am	1B|21		
㑤	U+3464	mau1B|21	m	au	1B|21		
㑥	U+3465	ji3B|22	j	i	3B|22		
㑦	U+3466	lei3B|22	l	ei	3B|22		
㑧	U+3467	gwei3A|33	gw	ei	3A|33		
㑨	U+3468	jyu2B|13	j	yu	2B|13		
㑩	U+3469	lo1B|21	l	o	1B|21		
㑪	U+346A	cai1B|21	c	ai	1B|21		
㑫	U+346B	nim3B|22	n	im	3B|22		
㑫	U+346B	lim3B|22	l	im	3B|22		
㑬	U+346C	gu1A|55	g	u	1A|55		
㑬	U+346C	gwu1A|55	gw	u	1A|55		
㑭	U+346D	beai2A|35	b	eai	2A|35		
㑮	U+346E	wen1B|21	w	en	1B|21		
㑯	U+346F	soei2A|35	s	oei	2A|35		
㑰	U+3470	fui3A|33	f	ui	3A|33		
㑱	U+3471	jiu2B|13	j	iu	2B|13		
㑲	U+3472	nam1B|21	n	am	1B|21		
㑲	U+3472	lam1B|21	l	am	1B|21		
㑳	U+3473	zeu3A|33	z	eu	3A|33		
㑳	U+3473	ceu1A|55	c	eu	1A|55		
㑴	U+3474	cem1A|55	c	em	1A|55		
㑵	U+3475	zet4B|2	z	et	4B|2		
㑶	U+3476	heai3A|33	h	eai	3A|33		
㑷	U+3477	tai3A|33	t	ai	3A|33		
㑸	U+3478	jiu1B|21	j	iu	1B|21		
㑹	U+3479	wui3B|22	w	ui	3B|22		
㑺	U+347A	zoen3A|33	z	oen	3A|33		
㑻	U+347B	mat4Ab|3	m	at	4Ab|3		
㑼	U+347C	leok4B|2	l	eok	4B|2		
㑽	U+347D	tong1B|21	t	ong	1B|21		
㑾	U+347E	jiu1B|21	j	iu	1B|21		
㑿	U+347F	zau3B|22	z	au	3B|22		
㒀	U+3480	zak4B|2	z	ak	4B|2		
㒁	U+3481	jyu2B|13	j	yu	2B|13		
㒂	U+3482	zeok4Ab|3	z	eok	4Ab|3		
㒃	U+3483	ji3B|22	j	i	3B|22		
㒄	U+3484	jin2B|13	j	in	2B|13		
㒅	U+3485	kei2A|35	k	ei	2A|35		
㒆	U+3486	kep4Aa|5	k	ep	4Aa|5		
